time,data
8259225.552000167,35877
8259225.559000167,40206
8259225.565000167,31164
8259225.5730001675,29408
8259225.580000168,29623
8259225.586000168,34796
8259225.592000168,33664
8259225.597000168,35855
8259225.605000168,36826
8259225.612000168,36959
8259225.618000168,39291
8259225.624000168,39554
8259225.629000168,40233
8259225.634000168,40520
8259225.642000169,39363
8259225.645000168,38587
8259225.652000168,38728
8259225.660000169,39161
8259225.666000169,40061
8259225.808000169,25514
8259225.816000169,24681
8259225.823000169,26685
8259225.829000169,30981
8259225.832000169,38292
8259225.840000169,24108
8259225.84800017,24984
8259225.85500017,25885
8259225.86100017,26245
8259225.86800017,26013
8259225.876000171,25726
8259225.882000171,24895
8259225.88500017,24625
8259225.893000171,24907
8259225.901000171,26254
8259225.909000171,24724
8259226.068000171,32038
8259226.074000171,30330
8259226.080000171,30446
8259226.084000171,30178
8259226.092000172,29857
8259226.100000172,29858
8259226.108000172,32108
8259226.114000172,33017
8259226.119000172,32704
8259226.127000173,32577
8259226.133000173,32369
8259226.140000173,32206
8259226.146000173,26691
8259226.152000173,26596
8259226.160000173,29225
8259226.164000173,26903
8259226.167000173,29041
8259226.176000172,32904
8259226.184000173,28848
8259226.192000173,26642
8259226.352000173,28171
8259226.359000173,28638
8259226.368000173,28469
8259226.375000173,28363
8259226.380000173,28767
8259226.384000173,30902
8259226.391000173,29011
8259226.400000173,28517
8259226.405000173,28492
8259226.413000173,31326
8259226.418000173,32031
8259226.428000173,28711
8259226.432000172,28871
8259226.440000173,28715
8259226.445000173,28588
8259226.453000173,28722
8259226.628000173,36919
8259226.631000172,36870
8259226.639000173,35410
8259226.645000173,31783
8259226.653000173,31943
8259226.658000173,31868
8259226.664000173,33467
8259226.671000173,33053
8259226.676000173,33062
8259226.682000173,36401
8259226.688000173,35565
8259226.698000173,34989
8259226.701000173,33425
8259226.708000173,34410
8259226.7170001725,35113
8259226.725000173,34641
8324771.999000173,34885
8324772.159000173,35427
8324772.169000173,35364
8324772.175000173,34892
8324772.183000173,35726
8324772.191000174,34870
8324772.198000174,34365
8324772.204000174,35122
8324772.210000174,36051
8324772.2180001745,34362
8324772.222000174,34585
8324772.228000174,34551
8324772.236000175,33618
8324772.241000175,31520
8324772.244000174,31519
8324772.250000174,32520
8324772.260000174,32014
8324772.268000174,32056
8324772.426000174,33602
8324772.4340001745,33590
8324772.442000175,34848
8324772.446000175,34665
8324772.454000175,34617
8324772.462000175,34542
8324772.468000175,34513
8324772.473000175,34078
8324772.479000175,34092
8324772.486000176,33966
8324772.492000176,33931
8324772.500000176,33967
8324772.508000176,33695
8324772.514000176,33676
8324772.521000177,33565
8324772.527000177,34530
8324772.534000177,33441
8324772.540000177,34567
8324772.545000177,34413
8324772.551000177,34143
8324772.689000177,31995
8324772.694000177,32572
8324772.703000177,30525
8324772.711000177,30521
8324772.718000177,30685
8324772.726000178,31079
8324772.729000177,30617
8324772.737000178,30684
8324773.030000177,31200
8324773.036000177,30945
8324773.042000177,30636
8324773.0490001775,30623
8324773.055000178,31012
8324773.063000178,30567
8324773.065000178,30564
8324773.073000179,30650
8324773.078000179,30458
8324773.086000179,30516
8324773.094000179,30498
8324773.10200018,30531
8324773.10800018,29760
8324773.11600018,29736
8324773.12200018,29957
8324773.23300018,31354
8324773.23900018,30947
8324773.24700018,30672
8324773.25400018,30852
8324773.26000018,30722
8324773.2660001805,31366
8324773.274000181,32641
8324773.278000181,32451
8324773.284000181,32242
8324773.292000181,32289
8324773.300000181,32094
8324773.3060001815,32200
8390308.306000182,32200
8390308.313000182,32170
8390308.31900018,32119
8390308.32700018,32106
8390308.32900018,32063
8390308.334000181,32208
8390308.343000181,32244
8390308.346000182,32308
8390308.35300018,32308
8390308.36200018,32337
8390308.61500018,35333
8390308.62200018,34000
8390308.63000018,33535
8455843.63000018,33535
8455843.636000179,33534
8455843.642000178,33644
8455843.650000177,33250
8455843.657000177,33352
8455843.663000176,33714
8455843.670000175,33590
8455843.676000174,33096
8455843.682000173,33530
8455843.689000173,34682
8455843.697000172,34150
8455843.703000171,31718
8455843.708000172,34024
8455843.713000173,33769
8455843.721000172,33556
8455843.727000171,33696
8455843.874000171,32779
8455843.88100017,32681
8455843.88700017,32620
8455843.89700017,32624
8455843.905000169,33360
8455843.913000168,32851
8455843.921000168,34130
8455843.927000167,32909
8521389.009000167,32914
8521389.015000166,33272
8521389.018000167,32868
8521389.023000168,32866
8521389.031000167,32918
8521389.036000168,32976
8521389.042000167,33113
8521389.218000168,34137
8521389.223000169,34042
8521389.229000168,34280
8521389.237000167,34892
8521389.242000168,35192
8521389.247000169,35493
8521389.253000168,35639
8521389.263000168,35580
8521389.271000167,35017
8521389.277000166,35286
8521389.285000166,29408
8521389.292000165,37540
8521389.295000166,37138
8521389.303000165,37130
8521389.311000165,34732
8521389.319000164,32353
8521389.325000163,31135
8521389.332000162,29513
8521389.338000162,29462
8521389.34500016,27628
8521389.35100016,27713
8521389.35600016,27727
8521389.36400016,28009
8521389.48400016,31081
8521389.490000159,33469
8521389.497000158,35206
8521389.501000158,33115
8521389.508000158,38163
8521389.516000157,37961
8521389.524000157,37880
8521389.530000156,37942
8521389.537000155,37863
8521389.543000154,37589
8521389.548000155,38201
8521389.554000154,38178
8521389.561000153,37877
8521389.569000153,37532
8521389.577000152,37887
8521389.583000151,35698
8586924.583000151,35698
8586924.58900015,34323
8586924.593000151,36237
8586924.60100015,30265
8586924.60900015,27094
8586924.76500015,30673
8586924.772000149,28239
8586924.778000148,28292
8586924.786000147,28659
8652469.798000148,27822
8652469.801000148,28154
8652469.805000149,28297
8652469.814000148,32042
8652469.822000148,32718
8652469.830000147,30476
8652469.838000147,29660
8652469.841000147,30699
8652469.848000146,29937
8652469.856000146,31683
8652469.864000145,30811
8652469.870000144,31164
8652469.877000144,34349
8652469.883000143,28463
8652470.022000143,35997
8652470.025000144,33908
8652470.032000143,37888
8652470.038000142,32488
8652470.046000142,32575
8652470.054000141,33752
8652470.06100014,33894
8652470.06700014,35095
8652470.073000139,36816
8652470.081000138,37740
8652470.086000139,37925
8652470.094000138,38594
8652470.09900014,37740
8652470.105000138,37589
8652470.113000138,36953
8652470.121000137,34227
8652470.128000136,32920
8652470.134000136,32230
8652470.141000135,32298
8652470.147000134,32893
8652470.155000133,27182
8652470.157000134,26656
8652470.323000133,23132
8652470.326000134,22872
8652470.336000133,26582
8652470.342000132,27185
8718005.342000132,27185
8718005.349000132,31132
8718005.357000131,29300
8718005.36500013,26865
8718005.37300013,27669
8718005.37700013,26166
8718005.38500013,24566
8718005.390000131,31748
8718005.39800013,23969
8718005.40500013,23976
8718005.411000129,24166
8718005.419000128,24685
8718005.425000127,35136
8718005.432000127,41429
8718005.438000126,32694
8718005.445000125,36688
8718005.453000125,37917
8718005.457000125,39547
8718005.595000125,22769
8718005.603000125,27195
8718005.609000124,30400
8718005.616000123,25334
